name,amp,mass,material,library,bounciness,resonance
shoebox_fused,0.03,0.1,hardwood,shake_demo/containers.json,0.2,0.5
sphere,0.2,0.08,cardboard,shake_demo/container_contents.json,0.4,0.5
cone,0.01,0.08,metal,shake_demo/container_contents.json,0.4,0.5
